x,y,z,s,e
566,365,485,14:52:55,14:53:47
688,137,822,14:52:55,14:53:47
694,28,1103,14:52:55,14:53:47
529,104,1232,14:52:55,14:53:47
359,323,1089,14:52:55,14:53:47
148,627,885,14:52:55,14:53:47
-31,884,710,14:52:55,14:53:47
-213,986,563,14:52:55,14:53:47
-287,987,496,14:52:55,14:53:47
-340,1059,405,14:52:55,14:53:47
-285,1247,358,14:52:55,14:53:47
-238,1247,401,14:52:55,14:53:47
-205,1162,415,14:52:55,14:53:47
-162,1027,392,14:52:55,14:53:47
-49,864,339,14:52:55,14:53:47
-31,873,311,14:52:55,14:53:47
-58,873,332,14:52:55,14:53:47
-290,575,799,14:52:55,14:53:47
-473,179,1083,14:52:55,14:53:47
-577,-254,1181,14:52:55,14:53:47
-486,-383,1081,14:52:55,14:53:47
31,894,829,14:52:55,14:53:47
61,1527,854,14:52:55,14:53:47
-152,1571,932,14:52:55,14:53:47
-434,1247,963,14:52:55,14:53:47
-589,1251,670,14:52:55,14:53:47
-475,1470,389,14:52:55,14:53:47
-304,1411,69,14:52:55,14:53:47
145,825,-453,14:52:55,14:53:47
288,627,-348,14:52:55,14:53:47
276,397,130,14:52:55,14:53:47
148,79,789,14:52:55,14:53:47
-90,-176,1458,14:52:55,14:53:47
-171,68,1339,14:52:55,14:53:47
-261,398,961,14:52:55,14:53:47
-305,776,854,14:52:55,14:53:47
-225,798,789,14:52:55,14:53:47
-164,793,740,14:52:55,14:53:47
-207,985,611,14:52:55,14:53:47
-232,1146,548,14:52:55,14:53:47
-220,1227,524,14:52:55,14:53:47
-177,1196,528,14:52:55,14:53:47
-83,1107,441,14:52:55,14:53:47
-80,1114,341,14:52:55,14:53:47
-92,1071,260,14:52:55,14:53:47
-23,904,269,14:52:55,14:53:47
3,880,375,14:52:55,14:53:47
-80,755,553,14:52:55,14:53:47
-278,380,774,14:52:55,14:53:47
-460,-369,1062,14:52:55,14:53:47
-242,-119,1017,14:52:55,14:53:47
19,466,884,14:52:55,14:53:47
73,981,774,14:52:55,14:53:47
-431,1136,861,14:52:55,14:53:47
-501,1064,949,14:52:55,14:53:47
-326,1062,944,14:52:55,14:53:47
-206,1090,577,14:52:55,14:53:47
-394,1054,276,14:52:55,14:53:47
-453,1016,5,14:52:55,14:53:47
-272,973,-115,14:52:55,14:53:47
72,585,296,14:52:55,14:53:47
-43,264,673,14:52:55,14:53:47
-234,55,986,14:52:55,14:53:47
-372,48,1167,14:52:55,14:53:47
-501,304,1188,14:52:55,14:53:47
-560,437,1091,14:52:55,14:53:47
-595,608,950,14:52:55,14:53:47
-499,859,693,14:52:55,14:53:47
-405,834,632,14:52:55,14:53:47
-351,809,594,14:52:55,14:53:47
-358,871,543,14:52:55,14:53:47
-350,1080,458,14:52:55,14:53:47
-276,1105,475,14:52:55,14:53:47
-210,1100,491,14:52:55,14:53:47
-183,1098,448,14:52:55,14:53:47
-148,1045,258,14:52:55,14:53:47
-114,949,237,14:52:55,14:53:47
-90,853,286,14:52:55,14:53:47
-93,800,396,14:52:55,14:53:47
-283,477,852,14:52:55,14:53:47
-440,19,1074,14:52:55,14:53:47
-502,-364,1110,14:52:55,14:53:47
-223,290,823,14:52:55,14:53:47
-145,921,863,14:52:55,14:53:47
-256,1148,1051,14:52:55,14:53:47
-620,815,1163,14:52:55,14:53:47
-644,864,985,14:52:55,14:53:47
-591,1024,786,14:52:55,14:53:47
-537,1100,630,14:52:55,14:53:47
-411,1072,271,14:52:55,14:53:47
-263,1101,6,14:52:55,14:53:47
-68,1081,-211,14:52:55,14:53:47
115,912,-226,14:52:55,14:53:47
279,184,560,14:52:55,14:53:47
256,-84,1064,14:52:55,14:53:47
181,-118,1350,14:52:55,14:53:47
-118,266,1229,14:52:55,14:53:47
-253,472,1083,14:52:55,14:53:47
-265,645,977,14:52:55,14:53:47
-160,766,887,14:52:55,14:53:47
-53,843,679,14:52:55,14:53:47
-160,898,588,14:52:55,14:53:47
-242,993,529,14:52:55,14:53:47
-73,1139,465,14:52:55,14:53:47
-6,1191,428,14:52:55,14:53:47
-59,1225,392,14:52:55,14:53:47
-146,1198,367,14:52:55,14:53:47
-85,999,296,14:52:55,14:53:47
-37,921,239,14:52:55,14:53:47
-57,867,213,14:52:55,14:53:47
-110,811,425,14:52:55,14:53:47
-148,716,694,14:52:55,14:53:47
-280,399,996,14:52:55,14:53:47
-465,-101,1173,14:52:55,14:53:47
-413,-136,905,14:52:55,14:53:47
-166,629,785,14:52:55,14:53:47
-69,1292,893,14:52:55,14:53:47
-650,1074,1169,14:52:55,14:53:47
-892,816,995,14:52:55,14:53:47
-854,838,716,14:52:55,14:53:47
-662,968,526,14:52:55,14:53:47
-482,966,427,14:52:55,14:53:47
-419,992,271,14:52:55,14:53:47
-223,1070,24,14:52:55,14:53:47
59,1044,-148,14:52:55,14:53:47
326,463,186,14:52:55,14:53:47
245,168,541,14:52:55,14:53:47
148,39,836,14:52:55,14:53:47
-22,208,1239,14:52:55,14:53:47
-189,389,1375,14:52:55,14:53:47
-336,560,1371,14:52:55,14:53:47
-335,677,1177,14:52:55,14:53:47
-68,788,639,14:52:55,14:53:47
-113,863,533,14:52:55,14:53:47
-282,948,526,14:52:55,14:53:47
-400,1016,536,14:52:55,14:53:47
-241,1149,492,14:52:55,14:53:47
-166,1194,453,14:52:55,14:53:47
-180,1166,415,14:52:55,14:53:47
-184,1007,389,14:52:55,14:53:47
-105,984,372,14:52:55,14:53:47
-45,967,313,14:52:55,14:53:47
-41,908,230,14:52:55,14:53:47
-87,743,329,14:52:55,14:53:47
-161,580,627,14:52:55,14:53:47
-340,229,984,14:52:55,14:53:47
-550,-202,1210,14:52:55,14:53:47
-364,90,1014,14:52:55,14:53:47
-29,854,886,14:52:55,14:53:47
64,1388,940,14:52:55,14:53:47
-711,1125,1163,14:52:55,14:53:47
-972,982,1037,14:52:55,14:53:47
-878,1060,815,14:52:55,14:53:47
-452,1083,548,14:52:55,14:53:47
-411,944,414,14:52:55,14:53:47
-366,870,138,14:52:55,14:53:47
-222,875,-253,14:52:55,14:53:47
164,678,-608,14:52:55,14:53:47
263,392,-227,14:52:55,14:53:47
289,122,398,14:52:55,14:53:47
271,22,941,14:52:55,14:53:47
170,311,1268,14:52:55,14:53:47
120,373,1353,14:52:55,14:53:47
93,282,1490,14:52:55,14:53:47
17,336,1350,14:52:55,14:53:47
-40,629,1029,14:52:55,14:53:47
-49,871,733,14:52:55,14:53:47
