x,y,z,s,e
-622,587,-249,15:04:19,15:05:11
-570,580,-243,15:04:19,15:05:11
-532,527,-258,15:04:19,15:05:11
-707,258,-352,15:04:19,15:05:11
-869,182,-451,15:04:19,15:05:11
-976,260,-565,15:04:19,15:05:11
-988,466,-616,15:04:19,15:05:11
-854,811,-372,15:04:19,15:05:11
-855,868,-231,15:04:19,15:05:11
-956,914,-220,15:04:19,15:05:11
-1255,874,-492,15:04:19,15:05:11
-1343,629,-601,15:04:19,15:05:11
-1370,240,-638,15:04:19,15:05:11
-1328,-150,-631,15:04:19,15:05:11
-1000,-336,-606,15:04:19,15:05:11
-812,-95,-597,15:04:19,15:05:11
-702,203,-589,15:04:19,15:05:11
-668,425,-578,15:04:19,15:05:11
-607,544,-524,15:04:19,15:05:11
-560,526,-482,15:04:19,15:05:11
-546,501,-435,15:04:19,15:05:11
-562,486,-383,15:04:19,15:05:11
-545,529,-293,15:04:19,15:05:11
-507,583,-283,15:04:19,15:05:11
-489,640,-285,15:04:19,15:05:11
-541,662,-261,15:04:19,15:05:11
-586,562,-263,15:04:19,15:05:11
-643,391,-315,15:04:19,15:05:11
-723,256,-419,15:04:19,15:05:11
-884,554,-608,15:04:19,15:05:11
-875,845,-599,15:04:19,15:05:11
-823,980,-528,15:04:19,15:05:11
-835,929,-454,15:04:19,15:05:11
-1201,754,-455,15:04:19,15:05:11
-1347,679,-493,15:04:19,15:05:11
-1348,515,-513,15:04:19,15:05:11
-1267,268,-515,15:04:19,15:05:11
-1210,-132,-481,15:04:19,15:05:11
-1218,-204,-405,15:04:19,15:05:11
-1154,-189,-301,15:04:19,15:05:11
-966,-55,-246,15:04:19,15:05:11
-287,571,-480,15:04:19,15:05:11
-68,827,-620,15:04:19,15:05:11
-177,816,-578,15:04:19,15:05:11
-891,274,-37,15:04:19,15:05:11
-841,265,67,15:04:19,15:05:11
-502,521,-69,15:04:19,15:05:11
-277,751,-265,15:04:19,15:05:11
-703,515,-215,15:04:19,15:05:11
-838,419,-135,15:04:19,15:05:11
-747,524,-189,15:04:19,15:05:11
-647,646,-312,15:04:19,15:05:11
-919,398,-354,15:04:19,15:05:11
-1081,290,-318,15:04:19,15:05:11
-1090,416,-328,15:04:19,15:05:11
-831,902,-350,15:04:19,15:05:11
-777,932,-302,15:04:19,15:05:11
-833,852,-262,15:04:19,15:05:11
-943,790,-272,15:04:19,15:05:11
-1101,706,-414,15:04:19,15:05:11
-1151,536,-488,15:04:19,15:05:11
-1196,291,-541,15:04:19,15:05:11
-1161,-109,-592,15:04:19,15:05:11
-1078,-168,-577,15:04:19,15:05:11
-989,-112,-544,15:04:19,15:05:11
-886,33,-541,15:04:19,15:05:11
-553,395,-752,15:04:19,15:05:11
-409,596,-830,15:04:19,15:05:11
