x,y,z,s,e
-501,-52,-768,15:06:20,15:07:12
-636,-34,-669,15:06:20,15:07:12
-662,-11,-576,15:06:20,15:07:12
-635,15,-651,15:06:20,15:07:12
-775,41,-674,15:06:20,15:07:12
-958,60,-599,15:06:20,15:07:12
-1066,79,-495,15:06:20,15:07:12
-1061,214,-459,15:06:20,15:07:12
-1092,262,-452,15:06:20,15:07:12
-1151,213,-379,15:06:20,15:07:12
-1177,93,-271,15:06:20,15:07:12
-1107,-68,-155,15:06:20,15:07:12
-1078,-112,-150,15:06:20,15:07:12
-1044,-185,-155,15:06:20,15:07:12
-896,-182,-232,15:06:20,15:07:12
-843,-26,-291,15:06:20,15:07:12
-846,127,-328,15:06:20,15:07:12
-884,189,-336,15:06:20,15:07:12
-935,165,-336,15:06:20,15:07:12
-924,180,-352,15:06:20,15:07:12
-894,196,-388,15:06:20,15:07:12
-795,180,-511,15:06:20,15:07:12
-759,203,-547,15:06:20,15:07:12
-758,259,-516,15:06:20,15:07:12
-788,317,-423,15:06:20,15:07:12
-842,287,-305,15:06:20,15:07:12
-836,169,-358,15:06:20,15:07:12
-820,8,-460,15:06:20,15:07:12
-814,-145,-604,15:06:20,15:07:12
-889,-233,-913,15:06:20,15:07:12
-947,-140,-859,15:06:20,15:07:12
-954,-17,-621,15:06:20,15:07:12
-751,81,-386,15:06:20,15:07:12
-673,36,-556,15:06:20,15:07:12
-696,1,-703,15:06:20,15:07:12
-778,45,-688,15:06:20,15:07:12
-872,294,-449,15:06:20,15:07:12
-917,282,-461,15:06:20,15:07:12
-998,110,-604,15:06:20,15:07:12
-1043,-227,-894,15:06:20,15:07:12
-963,-191,-803,15:06:20,15:07:12
-896,-85,-586,15:06:20,15:07:12
-883,-38,-416,15:06:20,15:07:12
-861,-195,-532,15:06:20,15:07:12
-786,-203,-655,15:06:20,15:07:12
-713,-94,-709,15:06:20,15:07:12
-686,43,-715,15:06:20,15:07:12
-695,89,-760,15:06:20,15:07:12
-649,80,-813,15:06:20,15:07:12
-577,136,-856,15:06:20,15:07:12
-514,283,-826,15:06:20,15:07:12
-530,289,-752,15:06:20,15:07:12
-547,297,-670,15:06:20,15:07:12
-554,338,-616,15:06:20,15:07:12
-532,302,-641,15:06:20,15:07:12
-514,159,-692,15:06:20,15:07:12
-510,9,-745,15:06:20,15:07:12
-528,-219,-875,15:06:20,15:07:12
-645,-291,-919,15:06:20,15:07:12
-758,-228,-878,15:06:20,15:07:12
-862,4,-749,15:06:20,15:07:12
-791,313,-584,15:06:20,15:07:12
-697,126,-612,15:06:20,15:07:12
-724,-108,-616,15:06:20,15:07:12
-1078,-75,-483,15:06:20,15:07:12
-1173,26,-419,15:06:20,15:07:12
-1161,25,-344,15:06:20,15:07:12
-1114,-16,-250,15:06:20,15:07:12
-1078,-2,-212,15:06:20,15:07:12
-1029,-58,-297,15:06:20,15:07:12
