x,y,z,s,e
-874,455,-131,16:09:49,16:10:41
-888,436,-166,16:09:49,16:10:41
-886,416,-174,16:09:49,16:10:41
-875,403,-151,16:09:49,16:10:41
-857,396,-127,16:09:49,16:10:41
-854,399,-154,16:09:49,16:10:41
-851,403,-180,16:09:49,16:10:41
-848,407,-192,16:09:49,16:10:41
-850,404,-201,16:09:49,16:10:41
-853,382,-208,16:09:49,16:10:41
-859,349,-208,16:09:49,16:10:41
-875,317,-202,16:09:49,16:10:41
-951,268,-230,16:09:49,16:10:41
-991,237,-266,16:09:49,16:10:41
-1018,196,-292,16:09:49,16:10:41
-1051,116,-303,16:09:49,16:10:41
-1081,83,-309,16:09:49,16:10:41
-1116,62,-290,16:09:49,16:10:41
-1143,67,-220,16:09:49,16:10:41
-1170,134,-52,16:09:49,16:10:41
-1185,164,-55,16:09:49,16:10:41
-1190,198,-93,16:09:49,16:10:41
-1169,261,-100,16:09:49,16:10:41
-1088,445,35,16:09:49,16:10:41
-1070,497,101,16:09:49,16:10:41
-1059,513,97,16:09:49,16:10:41
-1038,508,-29,16:09:49,16:10:41
-969,350,-546,16:09:49,16:10:41
-924,158,-673,16:09:49,16:10:41
-867,-11,-588,16:09:49,16:10:41
-806,-32,-400,16:09:49,16:10:41
-675,363,-333,16:09:49,16:10:41
-585,521,-425,16:09:49,16:10:41
-487,564,-443,16:09:49,16:10:41
-377,612,-336,16:09:49,16:10:41
-371,688,-368,16:09:49,16:10:41
-378,733,-439,16:09:49,16:10:41
-396,722,-471,16:09:49,16:10:41
-539,650,-369,16:09:49,16:10:41
-666,621,-325,16:09:49,16:10:41
-795,577,-314,16:09:49,16:10:41
-898,504,-314,16:09:49,16:10:41
-1011,340,-297,16:09:49,16:10:41
-1031,298,-282,16:09:49,16:10:41
-1033,272,-251,16:09:49,16:10:41
-1044,121,-154,16:09:49,16:10:41
-1089,0,-166,16:09:49,16:10:41
-1158,-100,-252,16:09:49,16:10:41
-1237,-153,-351,16:09:49,16:10:41
-1346,-45,-209,16:09:49,16:10:41
-1341,110,12,16:09:49,16:10:41
-1296,272,165,16:09:49,16:10:41
-1232,388,183,16:09:49,16:10:41
-1084,524,197,16:09:49,16:10:41
-1008,607,296,16:09:49,16:10:41
-960,667,294,16:09:49,16:10:41
-962,617,94,16:09:49,16:10:41
-989,123,-448,16:09:49,16:10:41
-947,-65,-558,16:09:49,16:10:41
