x,y,z,s,e
-1034,273,3,16:03:00,16:03:53
-1143,261,0,16:03:00,16:03:53
-1213,195,-38,16:03:00,16:03:53
-1214,74,-214,16:03:00,16:03:53
-1213,112,-280,16:03:00,16:03:53
-1214,187,-263,16:03:00,16:03:53
-1167,255,-158,16:03:00,16:03:53
-875,415,114,16:03:00,16:03:53
-741,533,194,16:03:00,16:03:53
-697,595,263,16:03:00,16:03:53
-897,226,419,16:03:00,16:03:53
-1042,-13,382,16:03:00,16:03:53
-1128,1,204,16:03:00,16:03:53
-1133,269,-37,16:03:00,16:03:53
-984,547,-256,16:03:00,16:03:53
-868,436,-220,16:03:00,16:03:53
-755,425,-197,16:03:00,16:03:53
-683,568,-220,16:03:00,16:03:53
-672,688,-226,16:03:00,16:03:53
-666,598,-165,16:03:00,16:03:53
-647,549,-103,16:03:00,16:03:53
-640,582,-66,16:03:00,16:03:53
-691,646,-17,16:03:00,16:03:53
-718,603,18,16:03:00,16:03:53
-738,552,37,16:03:00,16:03:53
-761,534,17,16:03:00,16:03:53
-854,550,-116,16:03:00,16:03:53
-941,502,-197,16:03:00,16:03:53
-1061,398,-288,16:03:00,16:03:53
-1248,123,-449,16:03:00,16:03:53
-1213,54,-398,16:03:00,16:03:53
-1109,93,-195,16:03:00,16:03:53
-1014,214,100,16:03:00,16:03:53
-1000,360,451,16:03:00,16:03:53
-1019,318,395,16:03:00,16:03:53
-1019,234,297,16:03:00,16:03:53
-1011,145,267,16:03:00,16:03:53
-967,225,256,16:03:00,16:03:53
-900,452,99,16:03:00,16:03:53
-822,634,-75,16:03:00,16:03:53
-725,476,-10,16:03:00,16:03:53
-693,357,125,16:03:00,16:03:53
-658,385,172,16:03:00,16:03:53
-625,506,135,16:03:00,16:03:53
-624,642,47,16:03:00,16:03:53
-680,635,8,16:03:00,16:03:53
-771,616,-38,16:03:00,16:03:53
-865,585,-67,16:03:00,16:03:53
-951,481,-22,16:03:00,16:03:53
-956,426,0,16:03:00,16:03:53
-974,359,-3,16:03:00,16:03:53
-1018,272,-30,16:03:00,16:03:53
-1146,169,-139,16:03:00,16:03:53
-1193,196,-232,16:03:00,16:03:53
-1210,207,-328,16:03:00,16:03:53
-1173,68,-352,16:03:00,16:03:53
-1141,72,-255,16:03:00,16:03:53
-1083,203,-143,16:03:00,16:03:53
-990,388,-62,16:03:00,16:03:53
-818,527,48,16:03:00,16:03:53
-811,493,150,16:03:00,16:03:53
-847,473,282,16:03:00,16:03:53
-895,472,403,16:03:00,16:03:53
-964,374,442,16:03:00,16:03:53
-980,246,276,16:03:00,16:03:53
-977,162,-17,16:03:00,16:03:53
-949,235,-339,16:03:00,16:03:53
-923,523,-510,16:03:00,16:03:53
-984,358,-352,16:03:00,16:03:53
-1042,95,-223,16:03:00,16:03:53
-944,236,-290,16:03:00,16:03:53
-873,460,-350,16:03:00,16:03:53
-859,502,-362,16:03:00,16:03:53
-863,436,-352,16:03:00,16:03:53
-761,551,-342,16:03:00,16:03:53
-715,636,-321,16:03:00,16:03:53
-725,603,-283,16:03:00,16:03:53
-783,501,-242,16:03:00,16:03:53
-912,412,-181,16:03:00,16:03:53
-929,408,-175,16:03:00,16:03:53
-898,392,-194,16:03:00,16:03:53
-765,440,-215,16:03:00,16:03:53
-724,514,-141,16:03:00,16:03:53
-730,568,-21,16:03:00,16:03:53
