x,y,z,s,e
721,373,-118,16:53:48,16:54:40
653,317,-119,16:53:48,16:54:40
672,323,-158,16:53:48,16:54:40
734,348,-221,16:53:48,16:54:40
933,305,-375,16:53:48,16:54:40
1096,204,-506,16:53:48,16:54:40
1320,75,-634,16:53:48,16:54:40
1548,-37,-609,16:53:48,16:54:40
1684,-49,97,16:53:48,16:54:40
1579,24,411,16:53:48,16:54:40
1440,73,451,16:53:48,16:54:40
1143,139,122,16:53:48,16:54:40
975,231,90,16:53:48,16:54:40
806,346,189,16:53:48,16:54:40
655,469,305,16:53:48,16:54:40
464,766,228,16:53:48,16:54:40
456,846,92,16:53:48,16:54:40
502,804,-9,16:53:48,16:54:40
624,552,-116,16:53:48,16:54:40
656,466,-153,16:53:48,16:54:40
684,405,-174,16:53:48,16:54:40
731,335,-196,16:53:48,16:54:40
893,117,-371,16:53:48,16:54:40
999,2,-499,16:53:48,16:54:40
1132,-55,-541,16:53:48,16:54:40
1520,147,-95,16:53:48,16:54:40
1747,296,226,16:53:48,16:54:40
1910,329,426,16:53:48,16:54:40
1888,228,502,16:53:48,16:54:40
1143,93,465,16:53:48,16:54:40
719,243,236,16:53:48,16:54:40
524,484,-114,16:53:48,16:54:40
566,759,-339,16:53:48,16:54:40
478,690,-138,16:53:48,16:54:40
339,574,0,16:53:48,16:54:40
420,579,-170,16:53:48,16:54:40
573,672,-249,16:53:48,16:54:40
655,710,-248,16:53:48,16:54:40
683,651,-229,16:53:48,16:54:40
882,354,-361,16:53:48,16:54:40
1030,185,-519,16:53:48,16:54:40
1116,16,-669,16:53:48,16:54:40
1143,-127,-711,16:53:48,16:54:40
1327,-70,-265,16:53:48,16:54:40
1531,113,105,16:53:48,16:54:40
1690,213,445,16:53:48,16:54:40
1542,15,868,16:53:48,16:54:40
1284,14,899,16:53:48,16:54:40
1011,184,758,16:53:48,16:54:40
783,399,462,16:53:48,16:54:40
532,626,-80,16:53:48,16:54:40
461,671,-98,16:53:48,16:54:40
385,681,-8,16:53:48,16:54:40
317,602,-14,16:53:48,16:54:40
378,575,-82,16:53:48,16:54:40
470,535,-85,16:53:48,16:54:40
707,287,-191,16:53:48,16:54:40
930,132,-463,16:53:48,16:54:40
1234,6,-723,16:53:48,16:54:40
1554,-66,-727,16:53:48,16:54:40
1993,-48,101,16:53:48,16:54:40
-1952,-22,536,16:53:48,16:54:40
1925,25,758,16:53:48,16:54:40
1593,175,742,16:53:48,16:54:40
714,590,165,16:53:48,16:54:40
492,587,-154,16:53:48,16:54:40
455,495,-294,16:53:48,16:54:40
443,582,-108,16:53:48,16:54:40
376,663,-63,16:53:48,16:54:40
349,657,-135,16:53:48,16:54:40
398,617,-241,16:53:48,16:54:40
545,639,-212,16:53:48,16:54:40
595,613,-133,16:53:48,16:54:40
683,513,-160,16:53:48,16:54:40
1019,250,-620,16:53:48,16:54:40
1173,143,-815,16:53:48,16:54:40
1262,47,-788,16:53:48,16:54:40
1295,-10,-528,16:53:48,16:54:40
1399,130,180,16:53:48,16:54:40
1526,224,417,16:53:48,16:54:40
1604,200,588,16:53:48,16:54:40
1505,104,705,16:53:48,16:54:40
745,355,353,16:53:48,16:54:40
305,705,-172,16:53:48,16:54:40
-31,922,-592,16:53:48,16:54:40
-137,678,-378,16:53:48,16:54:40
164,461,-171,16:53:48,16:54:40
628,290,-245,16:53:48,16:54:40
1118,126,-477,16:53:48,16:54:40
1711,-211,-287,16:53:48,16:54:40
1725,-258,155,16:53:48,16:54:40
1645,-134,457,16:53:48,16:54:40
1599,83,473,16:53:48,16:54:40
1451,206,444,16:53:48,16:54:40
1075,243,598,16:53:48,16:54:40
581,520,571,16:53:48,16:54:40
14,1124,-79,16:53:48,16:54:40
-73,958,-210,16:53:48,16:54:40
-143,632,-176,16:53:48,16:54:40
-119,454,-202,16:53:48,16:54:40
568,470,-630,16:53:48,16:54:40
1117,255,-841,16:53:48,16:54:40
1616,-92,-942,16:53:48,16:54:40
1948,-306,-811,16:53:48,16:54:40
1985,61,265,16:53:48,16:54:40
1800,255,726,16:53:48,16:54:40
1545,239,748,16:53:48,16:54:40
863,206,14,16:53:48,16:54:40
588,395,-137,16:53:48,16:54:40
476,567,-65,16:53:48,16:54:40
493,630,9,16:53:48,16:54:40
533,655,-254,16:53:48,16:54:40
516,681,-372,16:53:48,16:54:40
522,678,-358,16:53:48,16:54:40
561,639,-283,16:53:48,16:54:40
681,488,-255,16:53:48,16:54:40
755,380,-309,16:53:48,16:54:40
824,264,-402,16:53:48,16:54:40
880,105,-691,16:53:48,16:54:40
898,92,-790,16:53:48,16:54:40
964,115,-762,16:53:48,16:54:40
1110,175,-568,16:53:48,16:54:40
1611,332,199,16:53:48,16:54:40
1838,220,590,16:53:48,16:54:40
1896,-162,851,16:53:48,16:54:40
1699,-647,928,16:53:48,16:54:40
907,-407,562,16:53:48,16:54:40
692,353,217,16:53:48,16:54:40
662,895,-109,16:53:48,16:54:40
605,542,-313,16:53:48,16:54:40
517,310,-221,16:53:48,16:54:40
503,387,-156,16:53:48,16:54:40
570,592,-172,16:53:48,16:54:40
675,546,-179,16:53:48,16:54:40
680,389,-116,16:53:48,16:54:40
708,330,-107,16:53:48,16:54:40
