x,y,z,s,e
932,-23,542,18:34:47,18:35:39
919,-26,485,18:34:47,18:35:39
916,2,442,18:34:47,18:35:39
923,54,441,18:34:47,18:35:39
932,94,473,18:34:47,18:35:39
933,94,507,18:34:47,18:35:39
873,22,465,18:34:47,18:35:39
799,4,364,18:34:47,18:35:39
733,18,245,18:34:47,18:35:39
731,76,180,18:34:47,18:35:39
819,181,227,18:34:47,18:35:39
950,284,373,18:34:47,18:35:39
1041,298,529,18:34:47,18:35:39
1036,36,585,18:34:47,18:35:39
1057,-28,529,18:34:47,18:35:39
1136,37,507,18:34:47,18:35:39
1223,149,524,18:34:47,18:35:39
1255,195,525,18:34:47,18:35:39
1215,153,449,18:34:47,18:35:39
1133,103,287,18:34:47,18:35:39
929,168,-82,18:34:47,18:35:39
828,180,-169,18:34:47,18:35:39
770,105,-123,18:34:47,18:35:39
787,-18,62,18:34:47,18:35:39
853,-113,296,18:34:47,18:35:39
904,-144,423,18:34:47,18:35:39
914,-132,369,18:34:47,18:35:39
935,-109,245,18:34:47,18:35:39
1160,-74,376,18:34:47,18:35:39
1247,-96,530,18:34:47,18:35:39
1229,-139,572,18:34:47,18:35:39
1148,-153,524,18:34:47,18:35:39
1083,-113,489,18:34:47,18:35:39
1054,-82,504,18:34:47,18:35:39
1007,-142,524,18:34:47,18:35:39
903,-281,523,18:34:47,18:35:39
771,-384,536,18:34:47,18:35:39
662,-248,661,18:34:47,18:35:39
694,-166,653,18:34:47,18:35:39
743,-165,552,18:34:47,18:35:39
810,-161,433,18:34:47,18:35:39
919,-57,393,18:34:47,18:35:39
1078,118,449,18:34:47,18:35:39
1244,253,531,18:34:47,18:35:39
1352,300,551,18:34:47,18:35:39
1250,384,319,18:34:47,18:35:39
1080,441,138,18:34:47,18:35:39
892,385,-11,18:34:47,18:35:39
734,173,-75,18:34:47,18:35:39
659,-94,-20,18:34:47,18:35:39
696,-233,135,18:34:47,18:35:39
814,-140,302,18:34:47,18:35:39
925,83,376,18:34:47,18:35:39
941,175,267,18:34:47,18:35:39
962,72,264,18:34:47,18:35:39
1075,88,331,18:34:47,18:35:39
1225,215,412,18:34:47,18:35:39
1302,270,492,18:34:47,18:35:39
1242,138,593,18:34:47,18:35:39
1067,-75,686,18:34:47,18:35:39
851,-171,685,18:34:47,18:35:39
664,-93,544,18:34:47,18:35:39
564,120,184,18:34:47,18:35:39
680,151,164,18:34:47,18:35:39
866,213,260,18:34:47,18:35:39
1056,314,418,18:34:47,18:35:39
1193,380,573,18:34:47,18:35:39
1262,378,658,18:34:47,18:35:39
1282,377,634,18:34:47,18:35:39
1271,451,516,18:34:47,18:35:39
1123,551,231,18:34:47,18:35:39
987,390,113,18:34:47,18:35:39
867,189,15,18:34:47,18:35:39
816,93,-15,18:34:47,18:35:39
838,87,59,18:34:47,18:35:39
886,46,185,18:34:47,18:35:39
909,-38,248,18:34:47,18:35:39
863,213,165,18:34:47,18:35:39
861,468,214,18:34:47,18:35:39
894,499,355,18:34:47,18:35:39
945,279,482,18:34:47,18:35:39
1057,83,461,18:34:47,18:35:39
1122,311,430,18:34:47,18:35:39
1163,498,477,18:34:47,18:35:39
1127,465,561,18:34:47,18:35:39
