x,y,z,s,e
124,-27,237,11:18:25,11:19:18
333,0,316,11:18:25,11:19:18
1057,-80,987,11:18:25,11:19:18
1196,-105,1519,11:18:25,11:19:18
1157,-83,1961,11:18:25,11:19:18
1072,-52,-1889,11:18:25,11:19:18
1117,-183,1470,11:18:25,11:19:18
1151,-304,1061,11:18:25,11:19:18
1048,-332,782,11:18:25,11:19:18
761,-230,597,11:18:25,11:19:18
-178,78,376,11:18:25,11:19:18
-514,167,340,11:18:25,11:19:18
-497,187,249,11:18:25,11:19:18
223,3,-27,11:18:25,11:19:18
415,-103,121,11:18:25,11:19:18
499,-124,524,11:18:25,11:19:18
733,-70,1035,11:18:25,11:19:18
1515,-66,1942,11:18:25,11:19:18
1516,-158,-1894,11:18:25,11:19:18
1230,-186,1896,11:18:25,11:19:18
973,-96,1391,11:18:25,11:19:18
928,6,527,11:18:25,11:19:18
713,-115,377,11:18:25,11:19:18
280,-227,278,11:18:25,11:19:18
-91,-233,156,11:18:25,11:19:18
-36,-69,-46,11:18:25,11:19:18
132,-21,-11,11:18:25,11:19:18
256,-28,203,11:18:25,11:19:18
426,-73,597,11:18:25,11:19:18
1008,-122,1334,11:18:25,11:19:18
1214,-116,1462,11:18:25,11:19:18
1265,-112,1532,11:18:25,11:19:18
1196,-79,1624,11:18:25,11:19:18
978,59,1497,11:18:25,11:19:18
937,4,1152,11:18:25,11:19:18
919,-147,773,11:18:25,11:19:18
785,-252,512,11:18:25,11:19:18
-208,22,397,11:18:25,11:19:18
-682,225,345,11:18:25,11:19:18
-692,288,187,11:18:25,11:19:18
226,56,-81,11:18:25,11:19:18
423,-46,68,11:18:25,11:19:18
409,-76,404,11:18:25,11:19:18
507,-68,802,11:18:25,11:19:18
1152,-88,1484,11:18:25,11:19:18
1209,-115,1708,11:18:25,11:19:18
1031,-107,1792,11:18:25,11:19:18
874,-53,1707,11:18:25,11:19:18
1043,23,1233,11:18:25,11:19:18
1109,-4,994,11:18:25,11:19:18
998,-44,782,11:18:25,11:19:18
715,-64,579,11:18:25,11:19:18
-107,53,313,11:18:25,11:19:18
-374,172,280,11:18:25,11:19:18
-342,212,233,11:18:25,11:19:18
-52,117,132,11:18:25,11:19:18
411,-87,112,11:18:25,11:19:18
425,-32,346,11:18:25,11:19:18
490,58,677,11:18:25,11:19:18
708,95,1017,11:18:25,11:19:18
1238,-20,1613,11:18:25,11:19:18
1341,-68,1811,11:18:25,11:19:18
1332,-50,1849,11:18:25,11:19:18
1252,12,1674,11:18:25,11:19:18
933,26,883,11:18:25,11:19:18
674,-62,489,11:18:25,11:19:18
356,-135,213,11:18:25,11:19:18
48,-121,71,11:18:25,11:19:18
-153,-27,38,11:18:25,11:19:18
-185,67,69,11:18:25,11:19:18
-71,96,129,11:18:25,11:19:18
281,5,335,11:18:25,11:19:18
467,-14,536,11:18:25,11:19:18
698,15,831,11:18:25,11:19:18
966,64,1197,11:18:25,11:19:18
1196,79,1549,11:18:25,11:19:18
1302,37,1773,11:18:25,11:19:18
1132,-12,1609,11:18:25,11:19:18
1009,45,1340,11:18:25,11:19:18
945,81,1068,11:18:25,11:19:18
893,26,808,11:18:25,11:19:18
751,-102,537,11:18:25,11:19:18
476,-206,284,11:18:25,11:19:18
-41,-86,139,11:18:25,11:19:18
-26,19,198,11:18:25,11:19:18
134,25,192,11:18:25,11:19:18
294,-42,133,11:18:25,11:19:18
377,-76,193,11:18:25,11:19:18
445,-19,487,11:18:25,11:19:18
873,73,1291,11:18:25,11:19:18
1148,1,1530,11:18:25,11:19:18
1302,-80,1681,11:18:25,11:19:18
1284,-107,1749,11:18:25,11:19:18
1162,-78,1657,11:18:25,11:19:18
1046,-36,1382,11:18:25,11:19:18
979,-11,1040,11:18:25,11:19:18
696,12,668,11:18:25,11:19:18
370,50,621,11:18:25,11:19:18
37,93,523,11:18:25,11:19:18
-147,101,310,11:18:25,11:19:18
-126,56,39,11:18:25,11:19:18
23,-6,-137,11:18:25,11:19:18
185,-37,-97,11:18:25,11:19:18
317,-12,167,11:18:25,11:19:18
700,93,1005,11:18:25,11:19:18
975,98,1372,11:18:25,11:19:18
